DATE,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,OVERALL_AQI,CATEGORY,DOMINAN_ POLLUTANT
6/28/2024,23,53,15,9,0.66,26,38.33,53,18.75,11.25,33,26,53,Satisfactory,PM10
6/29/2024,20,53,17,9,0.67,24,33.33,53,21.25,11.25,33.5,24,53,Satisfactory,PM10
6/30/2024,19,49,16,8,0.64,24,31.67,49,20,10,32,24,49,Good,PM10
7/1/2024,20,38,15,9,0.63,25,33.33,38,18.75,11.25,31.5,25,38,Good,PM10
7/2/2024,18,43,16,8,0.66,24,30,43,20,10,33,24,43,Good,PM10
7/3/2024,20,46,18,8,0.69,25,33.33,46,22.5,10,34.5,25,46,Good,PM10
7/4/2024,17,43,17,8,0.67,24,28.33,43,21.25,10,33.5,24,43,Good,PM10
7/5/2024,18,46,16,9,0.67,24,30,46,20,11.25,33.5,24,46,Good,PM10
7/6/2024,21,55,18,9,0.69,22,35,55,22.5,11.25,34.5,22,55,Satisfactory,PM10
7/7/2024,18,46,17,9,0.61,24,30,46,21.25,11.25,30.5,24,46,Good,PM10
7/8/2024,18,43,16,9,0.63,26,30,43,20,11.25,31.5,26,43,Good,PM10
7/9/2024,19,46,18,8,0.63,27,31.67,46,22.5,10,31.5,27,46,Good,PM10
7/10/2024,19,50,18,9,0.63,27,31.67,50,22.5,11.25,31.5,27,50,Good,PM10
7/11/2024,19,51,18,9,0.63,26,31.67,51,22.5,11.25,31.5,26,51,Satisfactory,PM10
7/12/2024,19,47,17,9,0.57,28,31.67,47,21.25,11.25,28.5,28,47,Good,PM10
7/13/2024,15,46,17,9,0.63,28,25,46,21.25,11.25,31.5,28,46,Good,PM10
7/14/2024,16,43,16,9,0.6,28,26.67,43,20,11.25,30,28,43,Good,PM10
7/15/2024,14,35,16,9,0.58,26,23.33,35,20,11.25,29,26,35,Good,PM10
7/16/2024,13,37,17,8,0.63,25,21.67,37,21.25,10,31.5,25,37,Good,PM10
7/17/2024,15,49,16,8,0.63,27,25,49,20,10,31.5,27,49,Good,PM10
7/18/2024,13,36,17,9,0.64,29,21.67,36,21.25,11.25,32,29,36,Good,PM10
7/19/2024,14,37,17,8,0.63,29,23.33,37,21.25,10,31.5,29,37,Good,PM10
7/20/2024,16,54,16,8,0.62,28,26.67,54,20,10,31,28,54,Satisfactory,PM10
7/21/2024,16,46,15,8,0.56,30,26.67,46,18.75,10,28,30,46,Good,PM10
7/22/2024,15,47,16,8,0.59,28,25,47,20,10,29.5,28,47,Good,PM10
7/23/2024,15,46,18,8,0.65,25,25,46,22.5,10,32.5,25,46,Good,PM10
7/24/2024,16,43,17,8,0.64,25,26.67,43,21.25,10,32,25,43,Good,PM10
7/25/2024,16,39,18,9,0.65,24,26.67,39,22.5,11.25,32.5,24,39,Good,PM10
7/26/2024,18,46,18,9,0.66,22,30,46,22.5,11.25,33,22,46,Good,PM10
7/27/2024,18,49,17,8,0.63,21,30,49,21.25,10,31.5,21,49,Good,PM10
7/28/2024,20,49,16,8,0.59,23,33.33,49,20,10,29.5,23,49,Good,PM10
7/29/2024,21,53,17,9,0.52,24,35,53,21.25,11.25,26,24,53,Satisfactory,PM10
7/30/2024,18,40,17,9,0.58,25,30,40,21.25,11.25,29,25,40,Good,PM10
7/31/2024,20,47,18,9,0.7,25,33.33,47,22.5,11.25,35,25,47,Good,PM10
8/1/2024,18,47,17,9,0.66,25,30,47,21.25,11.25,33,25,47,Good,PM10
8/2/2024,19,42,15,8,0.7,26,31.67,42,18.75,10,35,26,42,Good,PM10
8/3/2024,21,51,16,9,0.68,24,35,51,20,11.25,34,24,51,Satisfactory,PM10
8/4/2024,20,45,15,8,0.68,25,33.33,45,18.75,10,34,25,45,Good,PM10
8/5/2024,23,50,17,9,0.78,26,38.33,50,21.25,11.25,39,26,50,Good,PM10
8/6/2024,17,41,17,8,0.75,24,28.33,41,21.25,10,37.5,24,41,Good,PM10
8/7/2024,20,52,18,10,0.68,22,33.33,52,22.5,12.5,34,22,52,Satisfactory,PM10
8/8/2024,21,56,17,9,0.61,23,35,56,21.25,11.25,30.5,23,56,Satisfactory,PM10
8/9/2024,24,65,18,9,0.68,24,40,65,22.5,11.25,34,24,65,Satisfactory,PM10
8/10/2024,24,58,17,8,0.72,25,40,58,21.25,10,36,25,58,Satisfactory,PM10
8/11/2024,23,59,17,8,0.63,24,38.33,59,21.25,10,31.5,24,59,Satisfactory,PM10
8/12/2024,27,68,19,8,0.75,25,45,68,23.75,10,37.5,25,68,Satisfactory,PM10
8/13/2024,29,66,19,8,0.8,24,48.33,66,23.75,10,40,24,66,Satisfactory,PM10
8/14/2024,37,80,18,8,0.83,26,61.14,80,22.5,10,41.5,26,80,Satisfactory,PM10
8/15/2024,27,59,17,8,0.78,26,45,59,21.25,10,39,26,59,Satisfactory,PM10
8/16/2024,34,65,19,9,0.84,29,56.07,65,23.75,11.25,42,29,65,Satisfactory,PM10
8/17/2024,41,55,18,9,0.78,30,67.9,55,22.5,11.25,39,30,67.9,Satisfactory,PM2.5
8/18/2024,24,50,17,9,0.72,28,40,50,21.25,11.25,36,28,50,Good,PM10
8/19/2024,28,56,18,8,0.78,26,46.67,56,22.5,10,39,26,56,Satisfactory,PM10
8/20/2024,22,50,17,8,0.74,30,36.67,50,21.25,10,37,30,50,Good,PM10
8/21/2024,17,40,16,8,0.68,25,28.33,40,20,10,34,25,40,Good,PM10
8/22/2024,17,45,17,9,0.64,27,28.33,45,21.25,11.25,32,27,45,Good,PM10
8/23/2024,21,56,17,9,0.63,27,35,56,21.25,11.25,31.5,27,56,Satisfactory,PM10
8/24/2024,20,56,17,10,0.55,27,33.33,56,21.25,12.5,27.5,27,56,Satisfactory,PM10
8/25/2024,19,53,17,10,0.57,28,31.67,53,21.25,12.5,28.5,28,53,Satisfactory,PM10
8/26/2024,17,49,17,10,0.6,28,28.33,49,21.25,12.5,30,28,49,Good,PM10
8/27/2024,17,45,17,10,0.59,26,28.33,45,21.25,12.5,29.5,26,45,Good,PM10
8/28/2024,18,48,16,11,0.65,25,30,48,20,13.75,32.5,25,48,Good,PM10
8/29/2024,20,44,17,9,0.7,25,33.33,44,21.25,11.25,35,25,44,Good,PM10
8/30/2024,21,53,17,9,0.72,24,35,53,21.25,11.25,36,24,53,Satisfactory,PM10
8/31/2024,19,51,16,9,0.74,24,31.67,51,20,11.25,37,24,51,Satisfactory,PM10
9/1/2024,19,47,16,8,0.68,24,31.67,47,20,10,34,24,47,Good,PM10
9/2/2024,22,50,17,8,0.69,24,36.67,50,21.25,10,34.5,24,50,Good,PM10
9/3/2024,23,57,16,9,0.76,23,38.33,57,20,11.25,38,23,57,Satisfactory,PM10
9/4/2024,26,61,16,9,0.75,23,43.33,61,20,11.25,37.5,23,61,Satisfactory,PM10
9/5/2024,23,57,17,9,0.69,22,38.33,57,21.25,11.25,34.5,22,57,Satisfactory,PM10
9/6/2024,23,60,15,8,0.64,20,38.33,60,18.75,10,32,20,60,Satisfactory,PM10
9/7/2024,21,50,15,8,0.59,20,35,50,18.75,10,29.5,20,50,Good,PM10
9/8/2024,17,42,15,8,0.56,20,28.33,42,18.75,10,28,20,42,Good,PM10
9/9/2024,19,50,15,8,0.59,20,31.67,50,18.75,10,29.5,20,50,Good,PM10
9/10/2024,18,51,15,8,0.64,20,30,51,18.75,10,32,20,51,Satisfactory,PM10
9/11/2024,22,53,15,8,0.71,19,36.67,53,18.75,10,35.5,19,53,Satisfactory,PM10
9/12/2024,23,55,16,8,0.72,21,38.33,55,20,10,36,21,55,Satisfactory,PM10
9/13/2024,25,59,16,8,0.71,22,41.67,59,20,10,35.5,22,59,Satisfactory,PM10
9/14/2024,26,56,15,8,0.68,21,43.33,56,18.75,10,34,21,56,Satisfactory,PM10
9/15/2024,24,50,15,8,0.68,22,40,50,18.75,10,34,22,50,Good,PM10
9/16/2024,23,49,15,8,0.68,21,38.33,49,18.75,10,34,21,49,Good,PM10
9/17/2024,22,46,16,9,0.68,21,36.67,46,20,11.25,34,21,46,Good,PM10
9/18/2024,27,66,16,9,0.7,23,45,66,20,11.25,35,23,66,Satisfactory,PM10
9/19/2024,29,69,16,7,0.74,23,48.33,69,20,8.75,37,23,69,Satisfactory,PM10
9/20/2024,29,61,17,9,0.69,23,48.33,61,21.25,11.25,34.5,23,61,Satisfactory,PM10
9/21/2024,29,57,16,8,0.71,23,48.33,57,20,10,35.5,23,57,Satisfactory,PM10
9/22/2024,24,43,15,8,0.69,23,40,43,18.75,10,34.5,23,43,Good,PM10
9/23/2024,23,46,16,9,0.7,22,38.33,46,20,11.25,35,22,46,Good,PM10
9/24/2024,22,46,15,9,0.71,20,36.67,46,18.75,11.25,35.5,20,46,Good,PM10
9/25/2024,22,47,15,9,0.71,19,36.67,47,18.75,11.25,35.5,19,47,Good,PM10
9/26/2024,24,49,16,9,0.69,20,40,49,20,11.25,34.5,20,49,Good,PM10
9/27/2024,24,58,16,10,0.68,22,40,58,20,12.5,34,22,58,Satisfactory,PM10
9/28/2024,28,59,16,9,0.73,23,46.67,59,20,11.25,36.5,23,59,Satisfactory,PM10
9/29/2024,26,51,16,9,0.76,23,43.33,51,20,11.25,38,23,51,Satisfactory,PM10
9/30/2024,31,62,17,10,0.73,24,51,62,21.25,12.5,36.5,24,62,Satisfactory,PM10
10/1/2024,34,66,18,8,0.82,24,56.07,66,22.5,10,41,24,66,Satisfactory,PM10
10/2/2024,28,50,17,8,0.87,24,46.67,50,21.25,10,43.5,24,50,Good,PM10
10/3/2024,20,42,18,8,0.82,21,33.33,42,22.5,10,41,21,42,Good,PM10
10/4/2024,28,58,19,8,0.86,21,46.67,58,23.75,10,43,21,58,Satisfactory,PM10
10/5/2024,20,42,18,9,0.77,24,33.33,42,22.5,11.25,38.5,24,42,Good,PM10
10/6/2024,30,61,18,9,0.76,25,50,61,22.5,11.25,38,25,61,Satisfactory,PM10
10/7/2024,48,93,19,8,0.79,26,79.72,93,23.75,10,39.5,26,93,Satisfactory,PM10
10/8/2024,32,57,20,9,0.73,27,52.69,57,25,11.25,36.5,27,57,Satisfactory,PM10
10/9/2024,27,58,19,9,0.71,25,45,58,23.75,11.25,35.5,25,58,Satisfactory,PM10
10/10/2024,27,54,19,8,0.7,25,45,54,23.75,10,35,25,54,Satisfactory,PM10
10/11/2024,25,46,18,7,0.71,24,41.67,46,22.5,8.75,35.5,24,46,Good,PM10
10/12/2024,17,38,18,7,0.68,23,28.33,38,22.5,8.75,34,23,38,Good,PM10
10/13/2024,15,31,17,7,0.68,23,25,31,21.25,8.75,34,23,34,Good,CO
10/14/2024,17,35,17,7,0.74,23,28.33,35,21.25,8.75,37,23,37,Good,CO
10/15/2024,16,31,19,7,0.76,21,26.67,31,23.75,8.75,38,21,38,Good,CO
10/16/2024,17,34,19,7,0.86,18,28.33,34,23.75,8.75,43,18,43,Good,CO
10/17/2024,16,37,19,6,0.7,22,26.67,37,23.75,7.5,35,22,37,Good,PM10
10/18/2024,18,48,20,7,0.65,22,30,48,25,8.75,32.5,22,48,Good,PM10
10/19/2024,21,43,22,7,0.75,23,35,43,27.5,8.75,37.5,23,43,Good,PM10
10/20/2024,22,45,21,6,0.76,24,36.67,45,26.25,7.5,38,24,45,Good,PM10
10/21/2024,25,47,18,7,0.69,24,41.67,47,22.5,8.75,34.5,24,47,Good,PM10
10/22/2024,21,43,20,6,0.75,21,35,43,25,7.5,37.5,21,43,Good,PM10
10/23/2024,30,56,20,5,0.84,24,50,56,25,6.25,42,24,56,Satisfactory,PM10
10/24/2024,33,67,20,6,0.79,26,54.38,67,25,7.5,39.5,26,67,Satisfactory,PM10
10/25/2024,52,109,20,7,0.85,25,86.48,106.32,25,8.75,42.5,25,106.32,Moderate,PM10
10/26/2024,71,136,20,6,0.91,24,135.14,124.26,25,7.5,45.5,24,135.14,Moderate,PM2.5
10/27/2024,66,131,20,7,0.92,23,118.07,120.93,25,8.75,46,23,120.93,Moderate,PM10
10/28/2024,58,119,18,6,0.95,25,96.62,112.96,22.5,7.5,47.5,25,112.96,Moderate,PM10
10/29/2024,52,111,18,7,0.77,25,86.48,107.64,22.5,8.75,38.5,25,107.64,Moderate,PM10
10/30/2024,58,121,18,8,0.94,23,96.62,114.29,22.5,10,47,23,114.29,Moderate,PM10
10/31/2024,68,131,19,9,0.86,25,124.9,120.93,23.75,11.25,43,25,124.9,Moderate,PM2.5
11/1/2024,67,118,22,11,1.27,23,121.48,112.3,27.5,13.75,60.25555556,23,121.48,Moderate,PM2.5
11/2/2024,48,85,19,11,1.25,31,79.72,85,23.75,13.75,59.16666667,31,85,Satisfactory,PM10
11/3/2024,32,61,18,10,0.98,26,52.69,61,22.5,12.5,49,26,61,Satisfactory,PM10
11/4/2024,30,63,19,9,0.91,22,50,63,23.75,11.25,45.5,22,63,Satisfactory,PM10
11/5/2024,37,88,20,9,0.96,23,61.14,88,25,11.25,48,23,88,Satisfactory,PM10
11/6/2024,50,111,20,10,1.03,25,83.1,107.64,25,12.5,51.5,25,107.64,Moderate,PM10
11/7/2024,41,93,20,10,1.02,26,67.9,93,25,12.5,51,26,93,Satisfactory,PM10
11/8/2024,29,64,19,11,0.96,23,48.33,64,23.75,13.75,48,23,64,Satisfactory,PM10
11/9/2024,28,58,20,10,0.95,23,46.67,58,25,12.5,47.5,23,58,Satisfactory,PM10
11/10/2024,37,72,20,10,0.96,23,61.14,72,25,12.5,48,23,72,Satisfactory,PM10
11/11/2024,47,94,20,10,1,23,78.03,94,25,12.5,50,23,94,Satisfactory,PM10
11/12/2024,46,94,20,10,0.99,24,76.34,94,25,12.5,49.5,24,94,Satisfactory,PM10
11/13/2024,19,43,19,10,0.9,20,31.67,43,23.75,12.5,45,20,45,Good,CO
11/14/2024,19,42,19,11,0.91,20,31.67,42,23.75,13.75,45.5,20,45.5,Good,CO
11/15/2024,20,45,18,11,0.94,20,33.33,45,22.5,13.75,47,20,47,Good,CO
11/16/2024,21,49,18,10,0.96,20,35,49,22.5,12.5,48,20,49,Good,PM10
11/17/2024,38,81,18,11,0.93,21,62.83,81,22.5,13.75,46.5,21,81,Satisfactory,PM10
11/18/2024,45,94,19,11,0.93,23,74.66,94,23.75,13.75,46.5,23,94,Satisfactory,PM10
11/19/2024,46,98,18,10,0.92,25,76.34,98,22.5,12.5,46,25,98,Satisfactory,PM10
11/20/2024,46,92,17,9,0.89,24,76.34,92,21.25,11.25,44.5,24,92,Satisfactory,PM10
11/21/2024,44,93,18,10,0.94,25,72.97,93,22.5,12.5,47,25,93,Satisfactory,PM10
11/22/2024,43,89,17,9,0.97,24,71.28,89,21.25,11.25,48.5,24,89,Satisfactory,PM10
11/23/2024,47,100,18,9,0.96,28,78.03,100,22.5,11.25,48,28,100,Satisfactory,PM10
11/24/2024,44,89,18,9,0.87,26,72.97,89,22.5,11.25,43.5,26,89,Satisfactory,PM10
11/25/2024,40,82,18,10,0.85,25,66.21,82,22.5,12.5,42.5,25,82,Satisfactory,PM10
11/26/2024,45,88,19,10,0.86,25,74.66,88,23.75,12.5,43,25,88,Satisfactory,PM10
11/27/2024,51,98,20,9,0.86,26,84.79,98,25,11.25,43,26,98,Satisfactory,PM10
11/28/2024,48,92,21,10,0.88,28,79.72,92,26.25,12.5,44,28,92,Satisfactory,PM10
11/29/2024,40,79,20,10,0.86,26,66.21,79,25,12.5,43,26,79,Satisfactory,PM10
11/30/2024,34,68,20,9,0.85,23,56.07,68,25,11.25,42.5,23,68,Satisfactory,PM10
12/1/2024,23,43,19,9,0.8,22,38.33,43,23.75,11.25,40,22,43,Good,PM10
12/2/2024,16,35,20,9,0.82,21,26.67,35,25,11.25,41,21,41,Good,CO
12/3/2024,17,38,21,8,0.95,22,28.33,38,26.25,10,47.5,22,47.5,Good,CO
12/4/2024,25,60,21,9,0.81,22,41.67,60,26.25,11.25,40.5,22,60,Satisfactory,PM10
12/5/2024,23,58,21,9,0.83,20,38.33,58,26.25,11.25,41.5,20,58,Satisfactory,PM10
12/6/2024,27,59,21,10,0.79,22,45,59,26.25,12.5,39.5,22,59,Satisfactory,PM10
12/7/2024,32,65,21,10,0.79,23,52.69,65,26.25,12.5,39.5,23,65,Satisfactory,PM10
12/8/2024,26,52,20,10,0.67,25,43.33,52,25,12.5,33.5,25,52,Satisfactory,PM10
12/9/2024,36,73,20,10,0.74,27,59.45,73,25,12.5,37,27,73,Satisfactory,PM10
12/10/2024,46,88,21,9,0.81,26,76.34,88,26.25,11.25,40.5,26,88,Satisfactory,PM10
12/11/2024,43,80,20,9,0.73,26,71.28,80,25,11.25,36.5,26,80,Satisfactory,PM10
12/12/2024,34,64,22,8,0.8,25,56.07,64,27.5,10,40,25,64,Satisfactory,PM10
12/13/2024,42,83,21,8,0.81,24,69.59,83,26.25,10,40.5,24,83,Satisfactory,PM10
12/14/2024,53,91,19,9,0.8,24,88.17,91,23.75,11.25,40,24,91,Satisfactory,PM10
12/15/2024,48,92,19,8,0.76,26,79.72,92,23.75,10,38,26,92,Satisfactory,PM10
12/16/2024,57,107,20,9,0.83,26,94.93,104.99,25,11.25,41.5,26,104.99,Moderate,PM10
12/17/2024,54,103,19,8,0.83,25,89.86,102.33,23.75,10,41.5,25,102.33,Moderate,PM10
12/18/2024,36,78,20,8,0.82,24,59.45,78,25,10,41,24,78,Satisfactory,PM10
12/19/2024,33,71,20,9,0.78,26,54.38,71,25,11.25,39,26,71,Satisfactory,PM10
12/20/2024,30,70,20,9,0.78,24,50,70,25,11.25,39,24,70,Satisfactory,PM10
12/21/2024,36,82,21,9,0.88,25,59.45,82,26.25,11.25,44,25,82,Satisfactory,PM10
12/22/2024,36,74,21,9,0.77,28,59.45,74,26.25,11.25,38.5,28,74,Satisfactory,PM10
12/23/2024,40,82,21,9,0.71,28,66.21,82,26.25,11.25,35.5,28,82,Satisfactory,PM10
12/24/2024,43,92,21,9,0.8,28,71.28,92,26.25,11.25,40,28,92,Satisfactory,PM10
12/25/2024,33,67,21,9,0.75,26,54.38,67,26.25,11.25,37.5,26,67,Satisfactory,PM10
12/26/2024,22,48,20,9,0.76,25,36.67,48,25,11.25,38,25,48,Good,PM10
12/27/2024,25,50,20,9,0.72,24,41.67,50,25,11.25,36,24,50,Good,PM10
12/28/2024,33,67,21,10,0.7,25,54.38,67,26.25,12.5,35,25,67,Satisfactory,PM10
12/29/2024,31,61,22,9,0.72,26,51,61,27.5,11.25,36,26,61,Satisfactory,PM10
12/30/2024,31,66,22,9,0.73,26,51,66,27.5,11.25,36.5,26,66,Satisfactory,PM10
12/31/2024,31,66,22,10,0.68,26,51,66,27.5,12.5,34,26,66,Satisfactory,PM10
